ma_vt,ten_vt,sl_ban_ra,tien_ban_ra,last_date,extra
1500035,Pin dùng cho laptop Acer V5 471 (4cell),13.0,6299085.0,2018-10-03T00:00:00,907.0
1500060,Bộ cấp nguồn/ Adaptor Asus 19V-6.32A,5.0,2545455.0,2018-10-08T00:00:00,757.0
1500068,Đầu RJ 45 (AMP) cat 6,20.0,436371.0,2018-09-28T00:00:00,483.0
1500082,ổ cứng HDD WD 6TB WD60EFRX Sata 3 (Đỏ),10.0,46224315.0,2018-10-08T00:00:00,7.0
1500104,Máy quét/ Scanner Canon lide 120,44.0,56757229.0,2018-10-09T00:00:00,979.0
1500105,Máy quét/ Scanner Canon lide 220,20.0,42787173.0,2018-10-09T00:00:00,528.0
1500122,Tai nghe Bluetooth Pisen VN002,25.0,7599089.0,2018-10-07T00:00:00,310.0
1500123,Cáp Lightning Pisen Flat Apple 800mm (Vàng),2.0,198182.0,2018-09-26T00:00:00,418.0
1500124,Cáp Lightning Pisen Flat Apple 800mm (Tím),3.0,297273.0,2018-10-03T00:00:00,627.0
1500125,Cáp Lightning Pisen Flat Apple 800mm (Xanh lá),1.0,99091.0,2018-10-09T00:00:00,209.0
1500126,Cáp Lightning Pisen Flat Apple 800mm (Xanh ngọc),5.0,495455.0,2018-10-03T00:00:00,36.0
1500127,Cáp Lightning Pisen Flat Apple 800mm (Xanh da trời),2.0,192727.0,2018-10-03T00:00:00,8.0
1500160,Máy đếm tiền Bosser BC-7900,14.0,28533642.0,2018-10-05T00:00:00,131.0
1500178,Máy hủy giấy Bosser 220CD,10.0,31818180.0,2018-10-09T00:00:00,374.0
1500180,Máy đục lỗ Bosser CB-308,3.0,4380000.0,2018-10-09T00:00:00,940.0
1500184,Miếng dán lót bàn phím,62.0,4948176.0,2018-10-09T00:00:00,40.0
1500226,Máy tính tiền Topcash POS QT 68,1.0,14000000.0,2018-09-20T00:00:00,125.0
1500253,Pin dùng cho laptop Dell 14Z/5421 ZIN,12.0,10909092.0,2018-10-08T00:00:00,793.0
1500254,Pin dùng cho laptop Sony BPS35 ZIN,3.0,3090000.0,2018-10-07T00:00:00,442.0
1500268,Tai nghe Audio-technica ATH-J100BK (Đen),11.0,1889998.0,2018-10-09T00:00:00,141.0
1500269,Tai nghe Audio-technica ATH-J100LGR (Xanh lá),6.0,1019090.0,2018-10-08T00:00:00,0.0
1500270,Tai nghe Audio-technica ATH-J100LPK (Hồng nhạt),3.0,528181.0,2018-10-08T00:00:00,474.0
1500281,Tai nghe Audio-technica ATH-S100iSBK (Đen),9.0,6870000.0,2018-10-08T00:00:00,728.0
1500282,Tai nghe Audio-technica ATH-S100iSBPK (Hồng),8.0,5511817.0,2018-09-29T00:00:00,659.0
1500283,Tai nghe Audio-technica ATH-S100iSBGR (Xanh),5.0,3633636.0,2018-10-09T00:00:00,227.0
1500293,Tai nghe Audio-technica ATH-M20x (Đen),2.0,2909090.0,2018-10-08T00:00:00,143.0
1500294,Bộ chia/ Hub USB 2.0 Orico H3TS-U2,9.0,1294637.0,2018-10-05T00:00:00,90.0
1500310,Tai nghe Audio-technica ATH-J100BL (Xanh dương),4.0,687272.0,2018-10-07T00:00:00,143.0
1500335,Máy in Brother MFC-L2701D,13.0,63014000.0,2018-10-09T00:00:00,941.0
1500337,Bộ cấp nguồn/ Adaptor Dell 19.5V-3.34A (Đầu đạn 2k),4.0,1454544.0,2018-10-04T00:00:00,575.0
1500345,Thẻ cào Vina 500.000,34.0,15039408.0,2018-10-09T00:00:00,263.0
1500372,Tản nhiệt/ Fan laptop CM X Slim II,9.0,2713636.0,2018-10-09T00:00:00,435.0
1500447,Bàn phím laptop Asus X451/X453,23.0,9363638.0,2018-10-09T00:00:00,118.0
1500457,Máy in Brother MFC-L2701DW,70.0,391306835.0,2018-10-09T00:00:00,491.0
1500461,"""Màn hình LCD Dell 27"""" U2715H""",9.0,82836365.0,2018-10-08T00:00:00,492.0
1500504,Hộc đựng tiền Topcash JJ-420,2.0,3200000.0,2018-09-14T00:00:00,461.0
1500521,"""LCD laptop 14.0"""" W Led Slim 30pin chân nhỏ""",45.0,50351814.0,2018-10-09T00:00:00,696.0
1500535,Pin dùng cho laptop Sony Bps35 (4cell),11.0,6000005.0,2018-10-08T00:00:00,491.0
1500556,Pin dùng cho laptop Dell XPS14,1.0,618182.0,2018-10-08T00:00:00,674.0
1500573,"""Màn hình LCD Philips 21.5"""" 223V5QSB6""",38.0,74484997.0,2018-10-09T00:00:00,617.0
1500576,"""Màn hình LCD AOC 23.6"""" M2461FWH""",31.0,72038254.0,2018-10-09T00:00:00,699.0
1500629,Bàn phím laptop Asus N56,1.0,363636.0,2018-09-13T00:00:00,396.0
1500645,Chuột máy tính A4-N360.1 (Xám),113.0,12667342.0,2018-10-09T00:00:00,356.0
1500646,Bàn phím A4 Tech KR.83.U (USB),2.0,241818.0,2018-09-29T00:00:00,667.0
1500713,"""ổ cứng HDD WD 500GB 2.5"""" Sata 3 7200 (WD500 LPLX) (Đen)""",39.0,47236360.0,2018-10-09T00:00:00,25.0
1500759,Cáp 3 in 1 (iP4/iP5/Micro ) Pisen,1.0,98182.0,2018-09-14T00:00:00,309.0
1500779,ổ cứng di động/ USB Transcend 16GB JF700,103.0,13192898.0,2018-10-09T00:00:00,223.0
1500780,Thiết bị mạng/ Switch Linksys 8P LGS108,17.0,15137273.0,2018-10-08T00:00:00,255.0
1500781,Thiết bị mạng/ Switch Linksys 24P LGS124,5.0,17550002.0,2018-10-09T00:00:00,465.0
1500782,Thiết bị mạng/ Switch Linksys 26P LGS326,3.0,19145454.0,2018-09-23T00:00:00,688.0
1500784,Thiết bị mạng Linksys RE6500HG Wireless,0.0,0.0,2018-10-03T00:00:00,0.0
1500799,Bộ lưu điện AR2200(2000VA) 1200W,11.0,37876363.0,2018-10-03T00:00:00,521.0
1500814,Thẻ cào Viettel 500.000,33.0,14594090.0,2018-10-09T00:00:00,923.0
1500840,Túi JCPAL 13'' NeopreneJCP10021,1.0,750000.0,2018-09-16T00:00:00,313.0
1500860,Pin dùng cho laptop Asus A32-X450,61.0,25791690.0,2018-10-09T00:00:00,641.0
1500870,Pin dùng cho laptop HP CB69/6530B,1.0,460909.0,2018-09-23T00:00:00,805.0
1500886,Chuột máy tính Newmen G10 (Vàng),262.0,35337719.0,2018-10-09T00:00:00,521.0
1500888,Chuột máy tính Newmen N500 Plus Gaming (Đen),473.0,79382173.0,2018-10-09T00:00:00,107.0
1500890,Bộ nhớ DDR4 Corsair 16GB (2400) C14 CMK16GX4M2A Ven LPX (2x8GB),10.0,39150457.0,2018-10-05T00:00:00,248.0
1500904,Bộ nhớ laptop DDR3 G.Skill 8GB (1600) F3-1600C9S-8GRSL,22.0,30545818.0,2018-10-09T00:00:00,361.0
